fi_id_cou;ser_nameshort;fi_date;fi_year;ge_stage;lengthmm;weightg;fi_comment
209791;VilTG;2013-05-13;2013;VIA3;67;0.226;
209792;VilTG;2013-05-13;2013;VIA4;73.5;0.234;
209793;VilTG;2013-05-13;2013;VIA4;67;0.213;
209794;VilTG;2013-05-13;2013;VIA4;73;0.223;
209795;VilTG;2013-05-13;2013;VIA4;61.5;0.14;
209796;VilTG;2013-05-13;2013;VIA4;71;0.222;
209797;VilTG;2013-05-13;2013;VIA4;65.5;0.186;
209798;VilTG;2013-05-13;2013;VIA4;78;0.265;
209799;VilTG;2013-05-13;2013;VIA4;69.5;0.25;
209800;VilTG;2013-05-13;2013;VIA4;70;0.197;
209801;VilTG;2013-05-13;2013;VIA4;69;0.221;
209802;VilTG;2013-05-13;2013;VIA2;65;0.178;
209803;VilTG;2013-05-13;2013;VIA2;70;0.252;
209804;VilTG;2013-05-13;2013;VIA4;73;0.23;
209805;VilTG;2013-05-13;2013;VIA4;65.5;0.183;
209806;VilTG;2013-05-13;2013;VIA3;69;0.249;
209807;VilTG;2013-05-13;2013;VIA3;67.5;0.222;
209808;VilTG;2013-05-13;2013;VIA3;64.5;0.175;
209809;VilTG;2013-05-13;2013;VIA4;63;0.165;
209810;VilTG;2013-05-13;2013;VIA4;70.5;0.231;
209811;VilTG;2013-05-13;2013;VIA0;69;0.224;
209812;VilTG;2013-05-13;2013;VIA4;68;0.194;
209813;VilTG;2013-05-13;2013;VIA3;65.5;0.185;
209814;VilTG;2013-05-13;2013;VIA4;77.5;0.265;
209815;VilTG;2013-05-13;2013;VIA4;66.5;0.205;
209816;VilTG;2013-05-13;2013;VIA3;63;0.165;
209817;VilTG;2013-05-13;2013;VIA2;66.5;0.215;
209818;VilTG;2013-05-13;2013;VIA3;66;0.196;
209819;VilTG;2013-05-13;2013;VIA4;66;0.182;
209820;VilTG;2013-05-13;2013;VIA3;64;0.192;
209821;VilTG;2013-05-13;2013;VIA4;68;0.177;
209822;VilTG;2013-05-13;2013;VIA4;66;0.166;
209823;VilTG;2013-05-13;2013;VIA4;61.5;0.151;
209824;VilTG;2013-05-13;2013;VIA3;69;0.233;
209825;VilTG;2013-05-13;2013;VIA4;65.5;0.157;
209826;VilTG;2013-05-13;2013;VIA4;70.5;0.151;
209827;VilTG;2013-05-13;2013;VIA4;61.5;0.152;
209828;VilTG;2013-05-13;2013;VIA4;67;0.216;
209829;VilTG;2013-05-13;2013;VIA3;67;0.218;
209830;VilTG;2013-05-13;2013;VIA3;68.5;0.249;
209840;VilTG;2013-05-13;2013;VIA4;60.5;0.184;
209831;VilTG;2013-05-13;2013;VIA0;66.5;0.228;
209839;VilTG;2013-05-13;2013;VIA4;59.5;0.138;
